piece_name,H1,H4,GS,CPI,SI_short,SI_mid,SI_long
output055_1.csv,2.13,2.9592,0.83,0.7667,0.388,0.4392,0.4942
output055_10.csv,2.538,3.1573,0.6846,0.8333,0.292,0.3067,0.2213
output055_2.csv,1.9519,2.7165,0.8304,0.6129,0.2595,0.2605,0.2507
output055_3.csv,1.8124,2.8412,0.8527,1.0,0.3675,0.4112,0.3139
output055_4.csv,2.4325,3.1496,0.6756,0.9787,0.0,0.0,0.0
output055_5.csv,2.2281,3.1109,0.7977,1.0,0.3904,0.4723,0.442
output055_6.csv,1.7272,2.7176,0.8575,0.7209,0.3805,0.408,0.3231
output055_7.csv,1.8945,2.7916,0.8446,0.4815,0.547,0.5605,0.5279
output055_8.csv,1.7942,2.6844,0.8577,0.5,0.3411,0.3535,0.343
output055_9.csv,2.5299,3.1533,0.7145,0.9194,0.3867,0.3826,0.3782
output271_10.csv,1.6785,2.1289,0.8566,0.7742,0.2914,0.1782,0.0839
output271_11.csv,2.0614,2.9423,0.8404,0.6415,0.2506,0.2659,0.2389
output271_12.csv,2.4354,3.0759,0.6682,0.7667,0.3663,0.4269,0.3983
output271_3.csv,1.3869,2.2969,0.8489,0.2069,0.2613,0.3034,0.2984
output271_4.csv,2.1441,2.9952,0.838,0.7647,0.2515,0.0638,0.0
output271_5.csv,2.6966,3.2897,0.6756,0.8909,0.2301,0.234,0.2365
output271_6.csv,1.4558,2.1886,0.8954,0.3448,0.2066,0.1979,0.1993
output271_7.csv,1.6721,2.5873,0.8085,0.1613,0.2826,0.3047,0.3033
output271_8.csv,1.5077,2.4131,0.8276,0.8621,0.0,0.0,0.0
output271_9.csv,2.4931,3.0318,0.544,1.0,0.4022,0.4182,0.4135
DATASET_MEAN,2.0285,2.8116,0.7874,0.7113,0.2948,0.2994,0.2733
